Recipe_Index,Title,Ingredients,Instructions,Image_Name,Count,Rating
176,Hot Miso Crab,"['1/2 cup silken tofu', '3 tablespoons white miso', '1 tablespoon freshly squeezed lemon juice', '""2 tablespoons sherry vinegar (or malt vinegar if thats lying around)"", 1/2 teaspoon garlic powder', '1 teaspoon onion powder', '1/4 teaspoon cayenne', '1/2 teaspoon freshly ground black pepper', '1 8-ounce can jumbo lump crab', '1/4 cup sour cream', '2 tablespoons finely chopped fresh chives', 'Olive oil', '1 loaf miche bread or baguette', 'cut into 15 to 20 1/2-inch-thick slices']","1. Preheat the oven to 191°C and line a baking sheet with parchment paper.
2. With an immersion blender or a food processor, puree the tofu, miso, lemon juice, vinegar, garlic powder, onion powder, cayenne, and pepper until smooth.
3. Transfer to a small bowl and fold in the crab, sour cream, and chives.
4. Pour 1/4 inch of oil into a shallow dish and soak the bread in the oil, coating both sides.
5. Evenly heap 2 to 3 tablespoons of the crab mixture onto each slice of bread and lay the slices on the prepared baking sheet. Bake for 12 to 14 minutes, until a little browned. Serve hot.",hot-miso-crab-56389414,0,
177,Ragout of Lamb and Spring Vegetables with Farro,"['4 sprigs oregano', '4 sprigs thyme', '2 sprigs rosemary', '2 bay leaves', '1/4 cup olive oil, plus more', '2 pounds lamb shoulder, cut into 1"" pieces', 'Kosher salt, freshly ground pepper', '0 freshly ground pepper', '8 ounces pearl onions, peeled', '4 garlic cloves, thinly sliced', '2 tablespoons balsamic vinegar', '1 cup dry red wine', '6 cups low-sodium chicken broth', '1 cup semi-pearled farro or wheat berries, rinsed', '1 3/4 pounds baby turnips, trimmed, scrubbed, halved if large', '1 bunch asparagus, trimmed, cut into 1"" pieces on a diagonal', '2 cups fresh (or frozen, thawed) peas', '1 bunch dandelion greens', 'trimmed']","Tie together oregano, thyme, rosemary, and bay leaves with kitchen twine.
Heat 1/4 cup oil in a large heavy pot over medium-high. Season lamb with salt and pepper. Working in batches, cook, turning occasionally, until browned, 12–15 minutes per batch. Transfer to a plate as you go.
Add onions to pot and stir to coat. Season with salt and pepper and cook until starting to brown, about 4 minutes. Stir in garlic; cook 30 seconds before adding vinegar. Cook, scraping up browned bits, until syrupy, about 1 minute.
Add wine, bring to a boil, and cook until reduced by about one-fourth, about 4 minutes. Add broth, lamb, and herb bundle. Bring to a boil, reduce heat, and simmer gently, partially covered, until lamb is tender, 75–85 minutes.
Stir in farro and cook until nearly al dente, 15–20 minutes. Remove herb bundle; add turnips. Cook until farro is cooked through, turnips are tender, and lamb is almost falling apart, 30–40 minutes. Mix in asparagus and peas; cook until crisp-tender, 2 minutes. Add greens and stir to wilt. Season with salt and pepper. Serve drizzled with oil.",ragout-of-lamb-and-spring-vegetables-with-farro-56389406,0,
178,Chile-Cumin Lamb Meatballs with Yogurt and Cucumber,"['3 pasilla chiles, seeds removed, chopped', '1 1/2 teaspoons crushed red pepper flakes', '1 tablespoon cumin seeds', '1/4 cup Sherry vinegar or red wine vinegar', '1 tablespoon sweet smoked paprika', '1 garlic clove, chopped', '1/2 cup olive oil', 'Kosher salt', '1/4 small onion, chopped', '8 garlic cloves, 7 cloves chopped, 1 clove finely grated', '1 tablespoon chopped fresh parsley', '1 teaspoon chopped fresh oregano', '1 teaspoon chopped fresh sage', '3/4 teaspoon fennel seeds', '3/4 teaspoon ground coriander', '3/4 teaspoon ground cumin', '1 tablespoon kosher salt', '1 large egg', '1 1/4 pounds ground lamb', '1 tablespoon rice flour or all-purpose flour', '4–5 tablespoons olive oil, divided', '1/2 English hothouse cucumber, thinly sliced', '1/2 teaspoon finely grated lemon zest', '2 tablespoons fresh lemon juice', '1 1/2 tablespoons Sherry vinegar or red wine vinegar', 'Freshly ground black pepper', '""1/2 cup plain sheeps-milk or cows whole-milk yogurt"", 1/4 cup chopped fresh mint', 'Crushed red pepper flakes (for serving)', 'A spice mill or a mortar and a pestle']","Toast chiles, red pepper flakes, and cumin seeds in a dry small skillet over medium heat, tossing occasionally, until fragrant and cumin seeds are golden, about 3 minutes.
Let cool. Working in batches, finely grind in spice mill, then transfer to a blender. Add vinegar, paprika, and garlic to blender and blend until smooth. With motor running, gradually stream in oil and blend until combined. Transfer to a large bowl; season with salt.
Do ahead: Chile sauce can be made 2 days ahead. Cover and chill.
Pulse onion, chopped garlic, parsley, oregano, sage, fennel seeds, coriander, cumin, and 1 tablespoon salt in a food processor, scraping down sides as needed, until finely chopped. Add egg, lamb, and flour and pulse until evenly combined. Form lamb mixture into 1 1/2"" balls.
Heat 2 tablespoons oil in a large skillet, preferably cast iron, over medium-high. Working in 2 batches and adding another 1 tablespoon oil to skillet if needed, cook meatballs, turning occasionally, until browned on all sides and cooked through, 5–8 minutes. Transfer meatballs to paper towels to drain.
Transfer all meatballs to bowl with chile sauce and toss to coat. Toss cucumber in a medium bowl with lemon zest, lemon juice, vinegar, and remaining 2 tablespoons oil; season with salt and pepper.
Spoon yogurt into bowls. Evenly divide meatballs among bowls; top with dressed cucumber and mint and sprinkle with red pepper flakes.
Do ahead: Meatball mixture can be made 1 day ahead. Cover and chill.",chile-cumin-lamb-meatballs-with-yogurt-and-cucumber-56389403,0,
179,Citrus and Chile Braised Short Ribs,"['8 (5–6-inch) English-style bone-in beef short ribs (about 6 pounds)', 'Kosher salt, freshly ground pepper', '2 tablespoons vegetable oil', '2 medium onions, chopped', '2 heads of garlic, halved crosswise', '4 celery stalks, chopped', '2 medium carrots, peeled, chopped', '2 tablespoons tomato paste', '1 teaspoon coriander seeds', '1 teaspoon cumin seeds', '7 chiles de árbol, divided, or 1 teaspoon crushed red pepper flakes', '4 sprigs oregano', '4 wide strips orange zest, plus some thin strips for serving', '1 cup plus 2 tablespoons fresh orange juice', '2 limes, halved', '1/2 cup fresh cilantro leaves with tender stems']","Season short ribs with salt and pepper. Place on a rimmed baking sheet and chill, uncovered, at least 2 hours (ribs are even better if you can do this a day ahead).
Preheat oven to 163°C. Heat oil in a large heavy pot over medium. Working in batches, cook short ribs until evenly browned, about 5 minutes on each side. Transfer to a platter; pour off pan drippings between batches.
Wipe out any burned bits from pot, but leave the golden-brown pieces (doing this will keep the finished sauce from tasting bitter). Place onions, garlic, celery, carrots, tomato paste, coriander seeds, cumin seeds, and 6 chiles in pot; season with salt and pepper and stir to coat. Increase heat to medium-high and cook, stirring often, until vegetables are softened, tomato paste is slightly darkened in color, and spices are fragrant, 10–12 minutes.
Add oregano, wide strips of orange zest, 1 cup orange juice, and 6 cups water to pot, scraping up any browned bits; season with salt and pepper. Add ribs with any juices accumulated on the platter, making sure they're completely submerged. Cover pot and braise ribs in the oven until meat is tender and falling off the bone, 4–5 hours.
Carefully transfer ribs to a platter. Strain braising liquid into a large bowl, then return to pot. Bring to a boil, then reduce heat and simmer until reduced by half (it will be thickened but still saucy). Return short ribs to pot and turn to coat.
To serve, drizzle short ribs with remaining 2 tablespoons orange juice and squeeze limes and crush remaining chile over. Top with cilantro and thin strips of orange zest.
Short ribs can be braised 5 days ahead. Let cool; cover and chill in strained braising liquid.",citrus-and-chile-braised-short-ribs-51264420,0,
180,Spicy Lamb and Lentils with Herbs,"['1 tablespoon vegetable oil', '1/2 pound ground lamb', 'Kosher salt, freshly ground pepper', '2 garlic cloves, thinly sliced', '1 teaspoon crushed red pepper flakes', '1/2 teaspoon cumin seeds', '1 1/2 cups cooked brown or French green lentils (from 1 cup dried)', '1/2 English hothouse cucumber, chopped', '1/2 cup chopped fresh cilantro, plus leaves for serving', '1/4 cup chopped fresh parsley, plus leaves for serving', '3/4 cup plain whole-milk Greek yogurt', 'Flatbread and lemon wedges (for serving)']","Heat oil in a medium skillet over medium-high. Season lamb with salt and pepper and arrange in pan in an even patty about 1/4"" thick. Cook, pressing occasionally to help meat make contact with pan, until underside is browned and very crisp, about 5 minutes. Carefully turn, pouring off excess fat (reserve), and cook until other side is crisp, about 5 minutes.
Break up lamb into small pieces. Mix in garlic, red pepper flakes, and cumin. Cook, stirring occasionally, until spices are fragrant and lamb is cooked through but still juicy, about 2 minutes. Transfer lamb mixture to a bowl with a slotted spoon.
Place lentils and 2 tablespoons of reserved fat in same skillet, season with salt and pepper, and cook, tossing occasionally, until lentils start to brown and crisp, 5–8 minutes. Return lamb to skillet and toss to combine and warm through. Remove from heat and stir in cucumber, cilantro, and parsley.
Spoon yogurt onto plates and top with lamb mixture, then some more cilantro and parsley. Serve with flatbread and lemon wedges.",spicy-lamb-and-lentils-with-herbs-51264050,0,
181,Bratwurst and Red Cabbage,"['1 pound uncured bratwurst', '2 tablespoons olive oil', '1 12-ounce bottle Pilsner or other lager, divided', '1 medium red onion, chopped', '1/2 medium head of red cabbage, thinly sliced', '1 medium red beet, peeled, coarsely grated', 'Kosher salt, freshly ground pepper', '1/2 cup apple cider vinegar', '1 tablespoon light brown sugar', '1/4 teaspoons ground allspice', 'Freshly grated horseradish (for serving)']","Prick bratwurst in several places with a knife and place in a large skillet. Add oil and half of beer, then add water until liquid comes a little over halfway up sides of sausages. Bring to a simmer over medium heat. Cook, turning once, until just barely cooked through, 12–15 minutes.
Increase heat to medium-high; cook until liquid is evaporated, 5–10 minutes. Roll sausages to edge of skillet and add onion to center. Cook, turning sausages often and stirring onion occasionally, until sausages are browned and onion is soft, 5–8 minutes. Transfer sausages to a plate.
Add cabbage and beet to skillet; season with salt and pepper. Cook, stirring often, until cabbage is wilted, about 5 minutes. Add vinegar, brown sugar, allspice, and remaining beer. Cover; cook until tender, 20–25 minutes. Serve sausages with cabbage mixture, topped with horseradish.",bratwurst-and-red-cabbage-51263820,0,
182,Tiny Corn Muffins,"['1 3/4 cup cornmeal', '3/4 cup flour', '1 tablespoon baking powder', '1 teaspoon baking soda', '1/2 teaspoon salt', '1/4 cup honey or agave', '1 1/2 cup buttermilk', '2 large eggs', '1/4 cup vegetable oil']","Preheat oven to 425 degrees.
Mix the first 5 dry ingredients in a bowl.
Whisk the remaining wet ingredients in a separate bowl until thoroughly combined.
Pour the cornmeal mixture into the wet ingredients and thoroughly combine with a whisk.
Pour into 24 greased mini muffin cups.
Bake for 15 minutes or until a toothpick comes out clean when inserted inside.
Cool and serve.",tiny-corn-muffins-51262720,0,
183,Po-Tacos,"['4 sweet or russet potatoes', 'pesto, greek yogurt and manchego cheese', 'chicken chili with cheddar cheese', 'refried beans, sour cream, and salsa', 'chicken with bbq sauce']","Preheat the oven to 400 ° F.
Poke several holes in the sides of the potatoes, place on a baking sheet lined with foil and bake for 1 hour.
Slice the potatoes down the middle, scoop out half of the flesh, and fill with desired accompaniments.",po-tacos-51262670,0,
184,Apple Butter Turnovers,"['8 tablespoons butter, chilled and cubed', '8 tablespoons vegetable shortening or lard, chilled and cubed', '2 1/2 cups all purpose flour', '1 teaspoon salt', '5 to 6 tablespoons ice water', '1 tablespoon honey', '1 tablespoon water', '1/2 cup apple butter']","Place the first 4 ingredients in a food processor and pulse until it resembles coarse cornmeal.
Sprinkle the ice water, 1 tablespoon at a time, in the food processor and pulse until the dough starts to come together.
Form the dough into a disk, wrap in parchment paper or plastic wrap, refrigerate for 30 minutes.
Roll out the dough 1/4 inch thick.
Using cookie cutters, cut out turnovers into desired shapes (If you are making 8 turnovers, you need 16 cut-outs, one for the top and one for the bottom).
Place one cut-out on a parchment or silpat lined baking sheet, top with 2 tsp of apple butter (depending on the size of your shape) leaving a 1/4 inch border around the cut-out.
Combine the honey and water together in a separate bowl.
Brush the 1/4 inch border with the honey water, place matching pastry shape on top of the apple butter and using the tines of a fork, gently press down to seal the dough.
Brush the remaining honey water on top of each turnover.
Using the tip of a knife, cut several slits through the dough (to allow ventilation).
Bake at 400 degrees for 20 minutes.",apple-butter-turnovers-51262730,0,
185,French Toast on a Stick,"['1 cup milk', '2 large eggs', '1 tablespoon honey', '1 teaspoon ground cinnamon', '4 cups brioche, french or sandwich bread, cut into 2 inch cubes', '1 tablespoon butter or oil', '16 strawberries, stems removed', '2 bananas, sliced into 1/2 inch coins', '8 wooden skewers']","In a bowl, whisk together the milk, eggs, honey and cinnamon.
Dip the bread cubes in the milk mixture to coat each side.
Heat the butter in a skillet over medium heat and cook the bread for 1 1/2 minutes on each side, or until golden brown.
Skewer the french toast cubes, strawberries and bananas and serve with maple syrup for dipping.",french-toast-on-a-stick-51262420,0,
186,Miso Carbonara with Broccoli Rabe and Red-Pepper Flakes,"['1/4 teaspoon kosher salt, plus more for pasta water', '1 pound spaghetti', '1 pound broccoli rabe, trimmed and cut into 2-inch pieces', '1/2 pound bacon (about 7 slices), cut crosswise into 1/4-inch-thick strips', '4 garlic cloves, smashed and peeled', '1/4 teaspoon red-pepper flakes', '2 large eggs, plus 1 large egg yolk', '2 1/2 tablespoons white or yellow miso paste', '1 teaspoon coarsely ground black pepper, plus more for serving', '1 1/4 cups finely grated Parmigiano-Reggiano (about 1/4 pound)', 'plus more for serving']","Set a 6- to 8-quart pot of heavily salted water over high heat; cover and bring to a boil. Meanwhile, heat a large skillet over medium heat. Add bacon and garlic; cook, stirring often, until bacon is crisp and garlic is deep golden brown, 6 to 8 minutes. Remove pan from heat, discard garlic, and pour off all but about 1 tablespoon fat; add red-pepper flakes to skillet and reserve.
Add spaghetti to boiling water, stir quickly, return to a boil, and cook according to package directions. Add broccoli rabe to the boiling water in the last 3 minutes of cooking time (if the stems seem especially thick and tough, add the broccoli rabe in the last 4 to 5 minutes). Cook pasta and broccoli rabe until spaghetti is al dente and rabe is crisp tender; drain in colander.
In a large bowl, whisk together eggs and egg yolk, miso, 1/4 teaspoon salt, and 1 teaspoon coarsely ground black pepper until smooth.
Once the pasta and rabe are drained, heat the skillet with the bacon and fat over medium heat until warmed. Add the pasta mixture and toss with tongs until combined. Transfer the pasta mixture to the bowl with the egg mixture and toss well to coat. Add half the cheese and toss to combine. Add the rest of the cheese and toss until the pasta is coated in a silky, cheesy sauce.
Divide pasta among four bowls, top with more Parmigiano and cracked black pepper, and serve immediately.",miso-carbonara-with-broccoli-rabe-and-red-pepper-flakes-51261020,0,
188,Pigs-in-a-Blanket with Hoisin and Scallion,"['1 large egg', 'One 14- to 17-ounce box of puff pastry (preferably all-butter puff), thawed according to package directions', 'Chinese five-spice powder, for sprinkling', '2 pounds fully cooked pork breakfast sausage (preferably unflavored), halved lengthwise if thick, and cut into 32 pieces (about 2 1/2 inches each)', '3 tablespoons hoisin sauce', '2 scallions, thinly sliced', 'Sesame seeds', 'for sprinkling']","Preheat the oven to 204°C. Set racks in the upper and lower thirds of the oven. Line two 13x18-inch baking sheets with parchment paper. In a small bowl, beat the egg with 1 tablespoon water. Prep the ingredients for the filling and set aside.
If using a 17-ounce puff pastry package, roll each sheet to a 9x12-inch rectangle. Lightly dust the surface of both sheets of pastry with five-spice powder. Cut each piece lengthwise into eight 1 1/2-inch wide strips. Cut each strip crosswise into two pieces, about 4 1/2 inches long. You should have 32 pieces of pastry.
Spread the center of each piece of pastry with 1/4 teaspoon hoisin and top with a sprinkle of scallion. Brush one narrow end of the pastry with egg wash, add 1 piece of sausage and roll to enclose. Return to parchment-lined baking sheets, seam-side down. Brush the top of each pastry with egg wash and sprinkle with sesame seeds. Refrigerate for 15 minutes. Bake pastries until golden brown and puffed, 23 to 27 minutes.",pigs-in-a-blanket-with-hoisin-and-scallion-51259820,0,
189,Beer-Battered Onion Rings,"['2 large yellow onions (about 2 pounds total)', '3 cups all-purpose flour, divided', '1 1/2 cups cornstarch', '2 1/2 teaspoons garlic powder', '2 1/2 teaspoons onion powder', '2 1/2 teaspoons cayenne pepper', '2 1/2 teaspoons granulated sugar', '1 1/2 tablespoons kosher salt, plus more for sprinkling', '1 1/2 cups Anchor Steam beer', '2 cups sparkling mineral water', '1 large egg', '4 to 6 cups vegetable oil (or more depending on vessel), for frying', 'deep fry/candy thermometer', '2 heat-safe cooling racks', '2 rimmed baking sheets']","Preheat oven to 121°C. Set two cooling racks over two rimmed baking sheets.
Cut onions crosswise into 1/2-inch thick slices and separate into rings. Reserve small inner rings for another use. Add 1 cup flour to a large bowl. Toss rings in flour and let sit 30 minutes.
When ready to fry, whisk together remaining 2 cups flour, cornstarch, garlic and onion powder, cayenne, sugar and salt in a large bowl. In another large bowl, whisk together the beer, water, and egg. Gradually whisk the dry mixture to the wet mixture.
Heat an inch of oil in a large pot over medium-high heat until it registers 177°C on a deep fry/candy thermometer. Working in batches to prevent crowding, dredge the onion rings in the batter and immediately drop into the oil. Cook onion rings, turning once, until golden, about 3 minutes total. Transfer cooked rings to the cooling racks set over the baking sheets. Sprinkle with salt and keep warm in oven while frying remaining batches.",beer-battered-onion-rings-51259730,0,
190,Beer-Braised Pork Belly,"['3 pound skin-on, boneless center-cut pork belly', 'Kosher salt, freshly ground pepper', '2 tablespoons vegetable oil', '1 star anise pod', '2 whole cloves', '1 tablespoon coriander seeds', '1 teaspoon fennel seeds', '2 12-ounce bottles stout or porter', '2 cups unfiltered apple juice or apple cider', '1 large onion, thinly sliced into rings', '4 medium carrots, peeled, cut on a diagonal into 1"" pieces', '3/4 cup coarsely chopped dried apricots', '1/2 cup (1 stick) unsalted butter', '1 medium shallot, finely chopped', 'Fresh lemon juice', 'Finely grated peeled horseradish (for serving)']","Preheat oven to 250°. Using a very sharp knife, score pork in a tight crosshatch pattern to form 1/2"" diamonds, cutting through fat but stopping at flesh. Season with salt and pepper, massaging into cuts.
Heat oil in a large heavy pot over medium-high (if belly doesn't fit, cut in half crosswise). Cook pork, skin side down, turning once, until browned all over, 5-8 minutes per side (be careful, fat will splatter). Transfer to a plate.
Pour off all but 2 tablespoon drippings from pot, add star anise, cloves, and coriander and fennel seeds, and cook over low heat, stirring, until spices are fragrant, about 30 seconds. Add beer and apple juice, scraping up browned bits. Add pork along with onion and carrots, adding water if needed to cover. Bring to a simmer, cover pot, and transfer to oven. Braise pork 3 hours. Add apricots and braise until pork is very tender but not falling apart, 1-2 hours.
Transfer pork, skin side up, to a rimmed baking sheet. Place vegetables and apricots in a large bowl; keep warm. Increase oven temperature to 475°; roast pork until skin is brown and very crisp, 25–35 minutes (the crispier, the better).
Meanwhile, pour braising liquid into a large saucepan and skim off fat. Bring to a boil; reduce heat and simmer until reduced by two-thirds, 25–35 minutes.
Heat butter in a small saucepan over medium-low, stirring often, until it foams, then browns, about 5 minutes. Add brown butter and shallot to braising sauce; season with lemon juice, salt, and pepper.
Cut pork into 8 pieces; serve with sauce, vegetables, and some horseradish.",beer-braised-pork-belly-51259370,0,
191,Capellini en Brodo,"['2 ounces capellini pasta', '2 cups Parmesan Broth', '1 large egg yolk', 'grated Parmesan', 'thyme leaves', 'pepper']","Cook 2 ounces capellini pasta and 2 cups Parmesan Broth in a large skillet over medium heat, stirring, until pasta is al dente and broth is reduced and thickened, about 3 minutes (if too thick, thin with more broth). Divide pasta between bowls; twist into tight nests. Add broth and top each with 1 large egg yolk, grated Parmesan, thyme leaves, and pepper.",capellini-en-brodo-51259360,0,
192,Beef and Squash Chili,"['1 dried ancho chile', '1 dried pasilla chile', '3 cups low-sodium chicken broth', '2 tablespoons plus 1 teaspoon vegetable oil', '1 pound boneless beef chuck roast, cut into 1/2"" pieces', 'Kosher salt', 'Freshly ground pepper', '1 large white onion, finely chopped', '4 garlic cloves, finely chopped', '2 teaspoons ground cumin', '1 teaspoon dried oregano', '1 (12-ounce) bottle lager', '1/2 acorn squash, scrubbed, sliced into thin wedges, then into 1"" pieces', '2 tablespoons fresh lime juice', '2 tablespoons raw pumpkin seeds (pepitas)', 'Sour cream', 'Chopped avocado', 'Sliced red onion (for serving)']","Toast chiles in a dry small skillet over medium-high heat, turning occasionally and pressing down to help them make contact with the pan, until darkened in color and beginning to soften, about 3 minutes. Transfer to a bowl and cover with 2 cups boiling water; let sit 30 minutes to soften. Drain; remove seeds and stems. Purée chiles and broth in a blender until smooth, about 1 minute.
Once chiles have soaked 10 minutes, heat 1 tablespoon oil in a large heavy pot over medium-high. Season beef with salt and pepper and cook, stirring occasionally, until browned all over, about 5 minutes. At this point, quite a bit of liquid will have accumulated; continue to cook until it has evaporated, about 3 minutes. Transfer beef to a plate.
Add 1 tablespoon oil to pot, then white onion and garlic; season with salt and pepper. Cook, stirring often, until softened, 6–8 minutes; onion juices will help loosen anything left on bottom of pot. Add cumin and oregano and cook, stirring, 1 minute.
Return beef to pot and add beer. Bring to a boil, reduce heat, and simmer, stirring occasionally, until almost completely reduced, about 4 minutes. Add chile purée, season with salt and pepper, and bring to a boil. Reduce heat and simmer until liquid is slightly thickened and meat is tender, 20–25 minutes. Add squash; cover and cook until tender, 10–15 minutes. Stir in lime juice.
Meanwhile, preheat oven to 177°C. Toss pumpkin seeds and remaining 1 teaspoon oil on a rimmed baking sheet; season with salt. Bake, stirring occasionally, until golden brown, 8–10 minutes. Let cool.
Serve chili topped with sour cream, avocado, red onion, and toasted pumpkin seeds.
Chili can be made 3 days ahead. Let cool; cover and chill, or freeze up to 1 month.",beef-and-squash-chili-51259220,0,
193,"Sausage with Sauerkraut, Apples, and Bok Choy","['1 teaspoon caraway seeds', '2 tablespoons plus 3 teaspoons vegetable oil, such as grapeseed, divided', '1 pound baby bok choy, heads trimmed and quartered lengthwise', '1 teaspoon kosher salt, divided', '1/2 teaspoon freshly ground black pepper, divided', '1 Honeycrisp or Gala apple, sliced into 1/4-inch wedges', '8 links fresh sausage (about 2 pounds), such as hot or sweet Italian sausage', '2 1/2 cups prepared sauerkraut, drained', '1/2 cup low-sodium chicken broth', '1 tablespoon cider vinegar', '1 tablespoon unsalted butter', 'Grainy Dijon mustard', 'for serving']","In a large dry skillet over medium heat, lightly toast the caraway seeds until fragrant, 1 to 2 minutes. Scrape out and reserve seeds.
Add 1 tablespoon oil to the skillet and heat over medium-high heat. Working in two to three batches, sear bok choy on all sides until lightly browned, 2 to 3 minutes per cut side. Add 1/4 teaspoon salt, 1/8 teaspoon pepper to each batch, and 1 teaspoon oil to sear each subsequent batch of bok choy.
Add 1 teaspoon oil to the skillet and sauté apples with 1/4 teaspoon salt and 1/8 teaspoon pepper until softened but still holding their shape, 5 to 7 minutes. Reserve apples.
Add remaining tablespoon oil to skillet and sear sausages on all sides until golden brown, 3 to 5 minutes per side. Add toasted caraway seeds, sauerkraut, and broth. Bring to a simmer, reduce heat to medium, cover the skillet, and simmer until sausages are cooked through (66°C for pork sausages, 71°C for poultry sausages), about 10 minutes. Remove cover and fold in reserved bok choy, apples, vinegar, and butter. Cook, tossing, until some of the liquid has evaporated and the bok choy and apples are warm, 3 to 5 minutes. Taste and adjust seasoning. Serve with mustard for dipping.",sausage-with-sauerkraut-apples-and-bok-choy-51254430,0,
194,Andouille Gougères,"['1/2 cup unsalted butter', '1/2 tsp kosher salt plus more', '1 cup all-purpose flour', '5 eggs', '2 1/2 oz Gruyère, grated', '4 oz andouille sausage', 'chopped']","Preheat oven to 425° with racks in upper and lower thirds. Line 2 baking sheets with parchment paper.
In a large saucepan, combine 1 cup water, butter, and 1/2 tsp salt. Bring to a boil over medium-high heat. When butter has melted, add flour all at once, stirring vigorously with a wooden spoon. Reduce heat to medium; keep stirring until mixture has formed a smooth, thick paste and pulls away from sides of pan, about 3 minutes. Transfer to bowl of a stand mixer fitted with paddle attachment or to a large heatproof bowl.
If using a stand mixer, add 4 eggs, 1 at a time, mixing on low speed until egg is incorporated and dough is smooth before adding the next egg.
If mixing by hand, add 4 eggs, 1 at a time, stirring with a wooden spoon until egg is incorporated and dough is smooth before adding the next egg. The mixture should be very thick, smooth, and shiny. Stir in Gruyère and andouille.
Use a tablespoon measure to drop dough into 1"" rounds about 1 1/2"" apart on prepared baking sheets. You should have about 24 gougères.
In a small bowl, whisk remaining egg with a pinch of salt. Brush the top of each gougère with egg wash.
Bake for 15 minutes. Reduce oven to 375°, rotate baking sheets, and continue baking until gougères are puffed and browned, about 15 minutes more. Serve warm or at room temperature.",andouille-gougeres-51256900,0,
195,Mummy Sandwich Cookies with White and Dark Chocolate,"['1 recipe Classic Sugar Cookies , baked using the slice-and-bake method', '8 ounces dark or semi-sweet chocolate, chopped', '8 ounces white chocolate, chopped', '""2 1/2 cups confectioners sugar, sifted"", 3/4 cup (1 1/2 sticks) unsalted butter, at room temperature', '8 ounces bar cream cheese, at room temperature', '1 teaspoon vanilla extract', 'Green food coloring (preferably gel paste)', 'pastry bag with small tip or resealable plastic bag', 'wooden skewers or toothpicks']","Fill a medium pot with 2 inches of water, place over medium heat, and bring to a simmer. Place dark chocolate in a heatproof metal or glass bowl and set over the pot (the simmering water should not touch the bottom of the bowl). Melt chocolate, stirring frequently, until almost completely melted. Remove bowl from heat, and stir until smooth.
Using a small offset spatula or spoon, apply a thin layer of dark chocolate onto the rounded surface of the ""tops"" of half the cookies, reserving the remaining half of the cookies for the sandwich ""bottoms."" Reserve remaining dark chocolate for the mummy eyes. Set cookies aside to allow chocolate to set, about 10 minutes.
Repeat melting process with white chocolate. Fill a pastry bag fitted with a small tip with melted white chocolate. Drizzle thin horizontal stripes of white chocolate onto each chocolate-covered cookie, leaving a 1/4-inch gap in the center for the eyes. Add the whites of two eyes in the center of each cookie and allow to set, about 5 minutes. Using a toothpick, add two small dots of reserved melted dark chocolate to the eyes to make pupils. Repeat with remaining cookies.
Using an electric mixer, beat butter on medium-high until smooth and fluffy. Add the cream cheese and beat until well blended. Add the confectioner's sugar, vanilla extract, and a few drops food coloring. Mix on medium-low until well combined, adding additional food coloring, if desired.
Spread 1 1/2 teaspoons of filling on the flat side of each reserved plain sugar cookie ""bottom,"" then top with a decorated cookie.",mummy-sandwich-cookies-with-white-and-dark-chocolate-51256010,0,
196,Broiled Salmon Steaks,"['Four 6-ounce salmon steaks', '2 tablespoons olive oil, turning to coat', 'Salt and pepper', 'Roasted Poblano and Caper Salsa']","Heat broiler. Place four 6-ounce salmon steaks on a broilerproof baking sheet. Drizzle with 2 tablespoons olive oil, turning to coat; season with salt and pepper. Broil until cooked through but still slightly translucent in the center, 5–7 minutes.
Serve with Roasted Poblano and Caper Salsa.",broiled-salmon-steaks-51255490,0,
